Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"Shooto - Border: Season 3 - Spring Thunder","WIN","TERUTO ISHIHARA","TAKUYA KODAMA","Decision (Unanimous)","Toshiharu Suzuki","2","5:00",""
"UFC - Road to UFC: Japan Semifinals","WIN","TERUTO ISHIHARA","AKIYO NISHIURA","Decision (Unanimous)","Jason Herzog","3","5:00","-380"
"UFC - Road to UFC: Japan Quarterfinals","WIN","TERUTO ISHIHARA","TATSUYA ANDO","Decision (Majority)","Herb Dean","2","5:00","-380"
"UFC Fight Night 137 - Santos vs. Anders","WIN","THALES LEITES","HECTOR LOMBARD","Decision (Unanimous)","Jerin Valel","3","5:00","-180"
"UFC 224 - Nunes vs. Pennington","LOSS","THALES LEITES","JACK HERMANSSON","TKO (Punches)","Marc Goddard","3","2:10","+110"
"UFC 216 - Ferguson vs. Lee","LOSS","THALES LEITES","BRAD TAVARES","Decision (Unanimous)","Chris Tognoni","3","5:00","+135"
"UFC Fight Night 108 - Swanson vs. Lobov","WIN","THALES LEITES","SAM ALVEY","Decision (Unanimous)","John McCarthy","3","5:00","-135"
"UFC Fight Night 100 - Bader vs. Nogueira 2","LOSS","THALES LEITES","KRZYSZTOF JOTKO","Decision (Unanimous)","Mario Yamasaki","3","5:00","-185"
"UFC Fight Night 92 - Rodriguez vs. Caceres","WIN","THALES LEITES","CHRIS CAMOZZI","Submission (Rear-Naked Choke)","Dan Miragliotta","3","2:58","-190"
"UFC Fight Night 84 - Silva vs. Bisping","LOSS","THALES LEITES","GEGARD MOUSASI","Decision (Unanimous)","Marc Goddard","3","5:00","+230"
"UFC Fight Night 72 - Bisping vs. Leites","LOSS","THALES LEITES","MICHAEL BISPING","Decision (Split)","Leon Roberts","5","5:00","+100"
"UFC 183 - Silva vs. Diaz","WIN","THALES LEITES","TIM BOETSCH","Technical Submission (Arm-Triangle Choke)","John McCarthy","2","3:45","-526"
"UFC Fight Night 49 - Henderson vs. dos Anjos","WIN","THALES LEITES","FRANCIS CARMONT","KO (Punches)","John McCarthy","2","0:20","+165"
"UFC Fight Night 39 - Nogueira vs. Nelson","WIN","THALES LEITES","TREVOR SMITH","TKO (Punches)","Neil Hall","1","0:45","-769"
"UFC 167 - St. Pierre vs. Hendricks","WIN","THALES LEITES","ED HERMAN","Decision (Unanimous)","Kim Winslow","3","5:00","-2000"
"UFC 163 - Aldo vs. Korean Zombie","WIN","THALES LEITES","TOM WATSON","Decision (Unanimous)","Herb Dean","3","5:00","-165"
"AFC - Amazon Forest Combat 2","WIN","THALES LEITES","MATT HORWICH","Submission (Arm-Triangle Choke)","Fernando Yamasaki","2","4:39",""
"Superior Challenge 7 - Rise of Champions","WIN","THALES LEITES","JEREMY HORN","Decision (Split)","N/A","3","5:00","n/a"
"Superior Challenge 6 - Lion's Den","WIN","THALES LEITES","TOR TROENG","Submission (Rear-Naked Choke)","Grant Waterman","2","3:33","n/a"
"PWP - War on the Mainland","LOSS","THALES LEITES","MATT HORWICH","Submission (Rear-Naked Choke)","Nelson Hamilton","4","0:44","-450"
"MFC 25 - Vindication","WIN","THALES LEITES","JESSE TAYLOR","Submission (Triangle Armbar)","Vern Gorman","1","2:27","-300"
"BC - Bitetti Combat 6","WIN","THALES LEITES","RICO WASHINGTON","Submission (Arm-Triangle Choke)","Mario Yamasaki","1","2:40",""
"MFC 23 - Unstoppable","WIN","THALES LEITES","DEAN LISTER","Decision (Unanimous)","John Braak","3","5:00","-350"
"UFC 101 - Declaration","LOSS","THALES LEITES","ALESSIO SAKARA","Decision (Split)","Marc Goddard","3","5:00","-500"
"UFC 97 - Redemption","LOSS","THALES LEITES","ANDERSON SILVA","Decision (Unanimous)","Yves Lavigne","5","5:00","+280"
"UFC 90 - Silva vs. Cote","WIN","THALES LEITES","DREW MCFEDRIES","Submission (Rear-Naked Choke)","Marc Fennell","1","1:18","-550"
"UFC 85 - Bedlam","WIN","THALES LEITES","NATE MARQUARDT","Decision (Split)","Herb Dean","3","5:00","+162"
"UFC 74 - Respect","WIN","THALES LEITES","RYAN JENSEN","Submission (Armbar)","Herb Dean","1","3:47","-300"
"UFC - The Ultimate Fighter 5 Finale","WIN","THALES LEITES","FLOYD SWORD","Submission (Arm-Triangle Choke)","Yves Lavigne","1","3:50","-650"
"UFC 69 - Shootout","WIN","THALES LEITES","PETE SELL","Decision (Unanimous)","Mario Yamasaki","3","5:00",""
"UFC - The Ultimate Fighter 4 Finale","LOSS","THALES LEITES","MARTIN KAMPMANN","Decision (Unanimous)","Yves Lavigne","3","5:00","-650"
"JF - Jungle Fight 6","WIN","THALES LEITES","JOSE LANDI-JONS","Submission (Arm-Triangle Choke)","N/A","1","2:40",""
"MARS - MARS","WIN","THALES LEITES","OSAMI SHIBUYA","Decision (Unanimous)","N/A","3","5:00",""
"UWC 1 - Ultimate Warriors Combat 1","WIN","THALES LEITES","JASON GUIDA","Submission (Armbar)","N/A","1","1:38",""
"ROTR - Qualifiers","WIN","THALES LEITES","RONALD JHUN","TKO (Doctor Stoppage)","N/A","3","0:32",""
"SS 8 - Storm Samurai 8","WIN","THALES LEITES","GUSTAVO MACHADO","Submission (Arm-Triangle Choke)","N/A","3","N/A",""
"ROTR 7 - Rumble On The Rock 7","WIN","THALES LEITES","ADAM ROLAND","Submission (Armbar)","Troy Mandaloniz","1","0:49",""
"VEF 1 - Vitoria Extreme Fighting 1","WIN","THALES LEITES","LUCIO LINHARES","TKO (Corner Stoppage)","N/A","1","0:00",""
"VEF 1 - Vitoria Extreme Fighting 1","WIN","THALES LEITES","FLAVIO LUIZ MOURA","Submission (Arm-Triangle Choke)","N/A","0","0:00",""
"Shooto Brazil - Welcome to Hell","WIN","THALES LEITES","FELIPE ARINELLI","Submission (Arm Triangle Choke)","N/A","2","0:00",""
"Shooto - Brazil","WIN","THALES LEITES","ERIK TEIXEIRA","Submission (Rear Naked Choke)","N/A","1","0:00",""
"UFC 237 - Namajunas vs. Andrade","LOSS","THIAGO ALVES","LAUREANO STAROPOLI","Decision (Unanimous)","Osiris Maia","3","5:00","-135"
"UFC Fight Night 144 - Assuncao vs. Moraes 2","WIN","THIAGO ALVES","MAX GRIFFIN","Decision (Split)","Jason Herzog","3","5:00","+150"
"UFC Fight Night 136 - Hunt vs. Oleynik","LOSS","THIAGO ALVES","ALEXEY KUNCHENKO","Decision (Unanimous)","Marc Goddard","3","5:00","+315"
"UFC Fight Night 126 - Cerrone vs. Medeiros","LOSS","THIAGO ALVES","CURTIS MILLENDER","KO (Knee)","Jacob Montalvo","2","4:17","-175"
"UFC 210 - Cormier vs. Johnson 2","WIN","THIAGO ALVES","PATRICK COTE","Decision (Unanimous)","Todd Anderson","3","5:00","+105"
"UFC 205 - Alvarez vs. McGregor","LOSS","THIAGO ALVES","JIM MILLER","Decision (Unanimous)","Keith Peterson","3","5:00","-162"
"UFC Fight Night 67 - Condit vs. Alves","LOSS","THIAGO ALVES","CARLOS CONDIT","TKO (Doctor Stoppage)","Mario Yamasaki","2","5:00","+245"
"UFC 183 - Silva vs. Diaz","WIN","THIAGO ALVES","JORDAN MEIN","KO (Kick to the Body)","Herb Dean","2","0:39","+110"
"UFC on Fox 11 - Werdum vs. Browne","WIN","THIAGO ALVES","SETH BACZYNSKI","Decision (Unanimous)","Herb Dean","3","5:00","-667"
"UFC on FX 2 - Alves vs. Kampmann","LOSS","THIAGO ALVES","MARTIN KAMPMANN","Submission (Guillotine Choke)","Herb Dean","3","4:12","-155"
"UFC 138 - Leben vs. Munoz","WIN","THIAGO ALVES","PAPY ABEDI","Submission (Rear-Naked Choke)","Dan Miragliotta","1","3:32","-357"
"UFC 130 - Rampage vs. Hamill","LOSS","THIAGO ALVES","RICK STORY","Decision (Unanimous)","Kim Winslow","3","5:00","-286"
"UFC 124 - St. Pierre vs. Koscheck 2","WIN","THIAGO ALVES","JOHN HOWARD","Decision (Unanimous)","Yves Lavigne","3","5:00","-350"
"UFC 117 - Silva vs. Sonnen","LOSS","THIAGO ALVES","JON FITCH","Decision (Unanimous)","Herb Dean","3","5:00","-140"
"UFC 100 - Lesnar vs. Mir 2","LOSS","THIAGO ALVES","GEORGES ST. PIERRE","Decision (Unanimous)","Steve Mazzagatti","5","5:00","+180"
"UFC 90 - Silva vs. Cote","WIN","THIAGO ALVES","JOSH KOSCHECK","Decision (Unanimous)","David Smith","3","5:00","-130"
"UFC 85 - Bedlam","WIN","THIAGO ALVES","MATT HUGHES","TKO (Flying Knee and Punches)","Herb Dean","2","1:02","+150"
"UFC Fight Night 13 - Florian vs. Lauzon","WIN","THIAGO ALVES","KARO PARISYAN","TKO (Knee and Punches)","Steve Mazzagatti","2","0:34","+105"
"UFC 78 - Validation","WIN","THIAGO ALVES","CHRIS LYTLE","TKO (Doctor Stoppage)","Dan Miragliotta","2","5:00","-205"
"UFC Fight Night 11 - Thomas vs. Florian","WIN","THIAGO ALVES","KUNIYOSHI HIRONAKA","TKO (Punch and Knee)","Herb Dean","2","4:04","-250"
"UFC 66 - Liddell vs. Ortiz 2","WIN","THIAGO ALVES","TONY DESOUZA","KO (Knee)","John McCarthy","2","1:10",""
"UFC Fight Night 6.5 - Ortiz vs. Shamrock 3","WIN","THIAGO ALVES","JOHN ALESSIO","Decision (Unanimous)","Troy Waugh","3","5:00",""
"UFC Fight Night 5 - Leben vs. Silva","LOSS","THIAGO ALVES","JON FITCH","TKO (Upkick and Punches)","N/A","2","4:37",""
"UFC 59 - Reality Check","WIN","THIAGO ALVES","DERRICK NOBLE","TKO (Punches)","N/A","1","2:54",""
"UFC 56 - Full Force","WIN","THIAGO ALVES","ANSAR CHALANGOV","TKO (Punches)","Mario Yamasaki","1","2:25",""
"UFC Fight Night 2 - Loiseau vs. Tanner","LOSS","THIAGO ALVES","SPENCER FISHER","Submission (Triangle Choke)","N/A","2","4:43",""
"KOTC 48 - Payback","WIN","THIAGO ALVES","JEFF COX","KO (Knee and Punches)","N/A","1","0:15",""
"IHC 8 - Ethereal","WIN","THIAGO ALVES","JASON CHAMBERS","TKO (Submission to Punches)","N/A","1","4:57",""
"AFC 7 - Absolute Fighting Championships 7","WIN","THIAGO ALVES","NURI SHAKIR","Decision (Unanimous)","N/A","2","5:00",""
"AFC 6 - Absolute Fighting Championships 6","LOSS","THIAGO ALVES","DERRICK NOBLE","Submission (Rear-Naked Choke)","N/A","2","2:13",""
"HFC 2 - Hardcore Fighting Championships 2","WIN","THIAGO ALVES","MARCUS DAVIS","Decision (Split)","N/A","3","5:00",""
"MD 12 - Mass Destruction 12","WIN","THIAGO ALVES","MIKE LITTLEFIELD","TKO (Punches)","N/A","2","0:50",""
"BC - Bitetti Combat Nordeste 2","WIN","THIAGO ALVES","CARLOS ALEXANDRE PEREIRA","TKO (Doctor Stoppage)","N/A","2","N/A",""
"BC - Bitetti Combat Nordeste 1","WIN","THIAGO ALVES","FABIO HOLANDA","Decision (Unanimous)","N/A","3","5:00",""
"CN 3 - Champions Night 3","WIN","THIAGO ALVES","WILSON BELCHOIR","KO (Punch)","N/A","1","N/A",""
"X - Fight","LOSS","THIAGO ALVES","LUCAS LOPES","Decision (Unanimous)","N/A","3","5:00",""
"CN - Champions Night 2","LOSS","THIAGO ALVES","GLEISON TIBAU","Submission (Armbar)","N/A","2","3:31",""
"UFC Fight Night 157 - Andrade vs. Zhang","LOSS","THIAGO MOISES","DAMIR ISMAGULOV","Decision (Unanimous)","John Sharp","3","5:00","+153"
"UFC 237 - Namajunas vs. Andrade","WIN","THIAGO MOISES","KURT HOLOBAUGH","Decision (Unanimous)","Marc Goddard","3","5:00","-140"
"UFC Fight Night 139 - Korean Zombie vs. Rodriguez","LOSS","THIAGO MOISES","BENEIL DARIUSH","Decision (Unanimous)","Keith Peterson","3","5:00","+120"
"Dana White's Tuesday Night Contender Series Brazil - Season 1, Episode 3","WIN","THIAGO MOISES","GLEIDSON MORAES CUTIS","TKO (Punches)","Jason Herzog","1","4:21",""
"LFA 41 - Moises vs. Peterson","WIN","THIAGO MOISES","JEFF PETERSON","Submission (Guillotine Choke)","Joe Fipp","2","4:31","-283"
"LFA 17 - Moises vs. Watley","LOSS","THIAGO MOISES","ROBERT WATLEY","Decision (Unanimous)","Donny Jessup","5","5:00","-400"
"RFA 44 - Moises vs. Freeman","WIN","THIAGO MOISES","ZACH FREEMAN","Decision (Unanimous)","Mike England","5","5:00","-475"
"RFA 38 - Moises vs. Emmers","WIN","THIAGO MOISES","JAMALL EMMERS","TKO (Punches)","John McCarthy","5","2:52","-300"
"RFA 35 - Moises vs. Castillo","WIN","THIAGO MOISES","DAVID CASTILLO","Submssion (Armbar)","Dave Seljestad","2","3:19","-190"
"RFA 28 - Sanchez vs. Poppie","WIN","THIAGO MOISES","JAVON WRIGHT","Submission (Rear-Naked Choke)","Mike England","2","2:10",""
"Atlas Fights - Cage Rage 25","LOSS","THIAGO MOISES","JASON KNIGHT","Decision (Unanimous)","N/A","3","5:00",""
"Fighten - Decagon MMA Championship","WIN","THIAGO MOISES","FRANCIVALDO SOARES DA ROCHA","Submission (Triangle Armbar)","Igor Soares","3","1:58",""
"Talent MMA Circuit 2 - Indaiatuba 2013","WIN","THIAGO MOISES","LEONARDO DE OLIVEIRA GUARIZZO","Decision (Unanimous)","Roberto Thomaz","3","5:00",""
"RF 9 - Real Fight 9","WIN","THIAGO MOISES","JOSE CONCEICAO","Decision (Unanimous)","N/A","3","5:00",""
"ECC - Eco Combat 2","WIN","THIAGO MOISES","DENNIS BENTES FIGUEIRA DA FONSECA","KO (Head Kick)","N/A","1","0:23",""
"CTF - CT Fight","WIN","THIAGO MOISES","WELLINGTON DIAS","Submission (Armbar)","Roberto Thomaz","1","2:50",""
"UFC 239 - Jones vs. Santos","LOSS","THIAGO SANTOS","JON JONES","Decision (Split)","Herb Dean","5","5:00","+355"
"UFC Fight Night 145 - Blachowicz vs. Santos","WIN","THIAGO SANTOS","JAN BLACHOWICZ","TKO (Punches)","Herb","3","0:39","-135"
"UFC 231 - Holloway vs. Ortega","WIN","THIAGO SANTOS","JIMI MANUWA","KO (Punches)","Todd Anderson","2","0:41","-215"
"UFC Fight Night 137 - Santos vs. Anders","WIN","THIAGO SANTOS","ERYK ANDERS","TKO (Elbows)","Marc Goddard","3","5:00","-205"
"UFC 227 - Dillashaw vs. Garbrandt 2","WIN","THIAGO SANTOS","KEVIN HOLLAND","Decision (Unanimous)","Mike Beltran","3","5:00","-380"
"UFC Fight Night 128 - Barboza vs. Lee","LOSS","THIAGO SANTOS","DAVID BRANCH","KO (Punches)","Gary Copeland","1","2:30","-205"
"UFC Fight Night 125 - Machida vs. Anders","WIN","THIAGO SANTOS","ANTHONY SMITH","TKO (Kick to the Body and Punches)","Marc Goddard","2","1:03","-320"
"UFC Fight Night 119 - Brunson vs. Machida","WIN","THIAGO SANTOS","JACK HERMANSSON","TKO (Punches)","Jerin Valel","1","4:59","-115"
"UFC 213 - Romero vs. Whittaker","WIN","THIAGO SANTOS","GERALD MEERSCHAERT","TKO (Punches)","Marc Goddard","2","2:04","-170"
"UFC Fight Night 105 - Lewis vs. Browne","WIN","THIAGO SANTOS","JACK MARSHMAN","TKO (Spinning Wheel Kick and Punches)","Brad Jardine","2","2:21","-189"
"UFC Fight Night 95 - Cyborg vs. Lansberg","LOSS","THIAGO SANTOS","ERIC SPICELY","Submission (Rear-Naked Choke)","John McCarthy","1","2:58","-850"
"UFC 200 - Tate vs. Nunes","LOSS","THIAGO SANTOS","GEGARD MOUSASI","TKO (Punches)","Marc Goddard","1","4:32","+200"
"UFC 198 - Werdum vs. Miocic","WIN","THIAGO SANTOS","NATE MARQUARDT","KO (Punch)","Kevin MacDonald","1","3:39","-395"
"UFC Fight Night 80 - Namajunas vs. VanZant","WIN","THIAGO SANTOS","ELIAS THEODOROU","Decision (Unanimous)","Marc Goddard","3","5:00","+167"
"UFC Fight Night 70 - Machida vs. Romero","WIN","THIAGO SANTOS","STEVE BOSSE","KO (Head Kick)","James Warring","1","0:29","-220"
"UFC 183 - Silva vs. Diaz","WIN","THIAGO SANTOS","ANDY ENZ","TKO (Punches)","Mark Smith","1","1:56","-200"
"UFC 175 - Weidman vs. Machida","LOSS","THIAGO SANTOS","URIAH HALL","Decision (Unanimous)","Yves Lavigne","3","5:00","+231"
"UFC Fight Night 38 - Shogun vs. Henderson 2","WIN","THIAGO SANTOS","RONNY MARKES","TKO (Kick to the Body and Punches)","Mario Yamasaki","1","0:53","+455"
"UFC 163 - Aldo vs. Korean Zombie","LOSS","THIAGO SANTOS","CEZAR FERREIRA","Submission (Guillotine Choke)","Mario Yamasaki","1","0:47","+300"
"WOCS - Watch Out Combat Show 20","WIN","THIAGO SANTOS","DENNIS BENTES FIGUEIRA DA FONSECA","TKO (Head Kick and Punches)","N/A","1","0:00",""
"Spartan MMA - Spartan MMA 2012","LOSS","THIAGO SANTOS","VICENTE LUQUE","TKO (Punches)","N/A","1","0:00",""
"WOCS - Watch Out Combat Show 18","WIN","THIAGO SANTOS","JUNIOR VIDAL","TKO (Punches)","Luiz Cabelinho","1","0:00",""
"WOCS - Watch Out Combat Show 17","WIN","THIAGO SANTOS","ENEAS SOUZA","Submission (Rear-Naked Choke)","N/A","3","2:50",""
"Spartan MMA - Spartan MMA 2011","WIN","THIAGO SANTOS","MARCOS VIGGIANI","Decision (Unanimous)","N/A","3","5:00",""
"EF - Explosion Fight","WIN","THIAGO SANTOS","RAFAEL BRAGA","TKO (Punches)","N/A","1","0:00",""
"WOCS - Watch Out Combat Show 14","WIN","THIAGO SANTOS","MAURICIO CHUEKE","Decision (Unanimous)","N/A","3","5:00",""
"SF - Senna Fight","WIN","THIAGO SANTOS","GABRIEL BARREIRO","TKO (Punches)","N/A","2","1:53",""
"WOCS - Watch Out Combat Show 10","WIN","THIAGO SANTOS","GUILHERME BENEDITO NUNES","Decision (Unanimous)","N/A","3","5:00",""
"RFC - Rio FC 2","LOSS","THIAGO SANTOS","ARMANDO SIXEL","Submission (Arm-Triangle Choke)","Fernando Paulon","1","0:00",""
"UFC Fight Night 138 - Oezdemir vs. Smith","LOSS","THIBAULT GOUTI","NASRAT HAQPARAST","Decision (Unanimous)","Barry Gallant","3","5:00","+475"
"UFC Fight Night 126 - Cerrone vs. Medeiros","LOSS","THIBAULT GOUTI","SAGE NORTHCUTT","Decision (Unanimous)","Kerry Hatley","3","5:00","+225"
"UFC Fight Night 115 - Volkov vs. Struve","WIN","THIBAULT GOUTI","ANDREW HOLBROOK","TKO (Punches)","Neil Hall","1","4:28","+138"
"UFC on Fox 21 - Maia vs. Condit","LOSS","THIBAULT GOUTI","CHAD LAPRISE","TKO (Punches)","Kevin Dornan","1","1:36","+220"
"UFC Fight Night 89 - MacDonald vs. Thompson","LOSS","THIBAULT GOUTI","OLIVIER AUBIN-MERCIER","Submission (Rear-Naked Choke)","Yves Lavigne","3","2:28","+320"
"UFC Fight Night 84 - Silva vs. Bisping","LOSS","THIBAULT GOUTI","TEEMU PACKALEN","Submission (Rear-Naked Choke)","Grant Waterman","1","0:24","-135"
"Cage - Cage 33","WIN","THIBAULT GOUTI","ANTON KUIVANEN","KO (Punch)","Mikko Aaltonen","3","1:08","+180"
"Cage - Cage 29","WIN","THIBAULT GOUTI","MIKAEL NYYSSONEN","KO (Punches)","Lassi Minkkinen","1","0:53","+157"
"GFA - Gladiator Fighting Arena","WIN","THIBAULT GOUTI","CEDRIC SEVERAC","Submission (Anaconda Choke)","Emilian Hagiu","1","2:26",""
"GFA - Gladiator Fighting Arena","WIN","THIBAULT GOUTI","RAMON BOIXADER","TKO (Punches)","Emilian Hagiu","1","1:23",""
"PFC 6 - Pancrase Fighting Championship","WIN","THIBAULT GOUTI","JORGE GINER","Submission (Rear-Naked Choke)","Laurent Colombeau","1","2:32",""
"FWC - Fightway Challenge 8","WIN","THIBAULT GOUTI","SOFIANE BENCHOHRA","Decision (Unanimous)","Laurent Colombeau","2","5:00",""
"PFC - Challengers 6","WIN","THIBAULT GOUTI","BAPTISTE ATCHER","Submission (Rear-Naked Choke)","Jean Michel Foissard","1","1:32",""
"PFC 5 - Clash of the Titans","WIN","THIBAULT GOUTI","MIKHAIL ZAPOULAEV","Submission (Triangle Choke)","Laurent Colombo","1","4:13",""
"FWC - Fightway Challenge 7","WIN","THIBAULT GOUTI","MOHAMED BEKADAR","Submission (Rear-Naked Choke)","Jeremie Moreau","1","2:34",""
"FI - Fight Impact","WIN","THIBAULT GOUTI","JEREMY ALARY","Decision (Unanimous)","Laurent Colombeau","2","5:00",""
"PFC - Challengers 4","WIN","THIBAULT GOUTI","DAMIEN VELOURS","Submission (Rear-Naked Choke)","N/A","2","1:04",""
"UFC - The Ultimate Fighter Season 22 Elimination Fights","LOSS","THIBAULT GOUTI","DAVID TEYMUR","Decision (Unanimous)","Chris Tognoni","2","5:00",""
"UFC 220 - Miocic vs. Ngannou","LOSS","THOMAS ALMEIDA","ROB FONT","TKO (Head Kick and Punches)","Herb Dean","2","2:24","-150"
"UFC on Fox 25 - Weidman vs. Gastelum","LOSS","THOMAS ALMEIDA","JIMMIE RIVERA","Decision (Unanimous)","Dan Miragliotta","3","5:00","+140"
"UFC Fight Night 100 - Bader vs. Nogueira 2","WIN","THOMAS ALMEIDA","ALBERT MORALES","TKO (Punches)","Eduardo Herdy","2","1:37","-370"
"UFC Fight Night 88 - Almeida vs. Garbrandt","LOSS","THOMAS ALMEIDA","CODY GARBRANDT","KO (Punches)","John McCarthy","1","2:53","-207"
"UFC Fight Night 77 - Belfort vs. Henderson 3","WIN","THOMAS ALMEIDA","ANTHONY BIRCHAK","KO (Punch)","Keith Peterson","1","4:24","-625"
"UFC 189 - Mendes vs. McGregor","WIN","THOMAS ALMEIDA","BRAD PICKETT","KO (Knee)","John McCarthy","2","0:29","-1200"
"UFC 186 - Johnson vs. Horiguchi","WIN","THOMAS ALMEIDA","YVES JABOUIN","TKO (Punches)","Yves Lavigne","1","4:18","-500"
"UFC Fight Night 56 - Shogun vs. St. Preux","WIN","THOMAS ALMEIDA","TIM GORMAN","Decision (Unanimous)","Mario Yamasaki","3","5:00","-476"
"LFC 32 - Legacy Fighting Championship 32","WIN","THOMAS ALMEIDA","CAIO MACHADO","KO (Punch to the Body)","Buddy Caskey","1","4:17",""
"MMASH - MMA Super Heroes 3","WIN","THOMAS ALMEIDA","VINICIUS ZANI","TKO (Punches)","Elcio Picollo","4","3:52",""
"LFC 26 - Legacy Fighting Championship 26","WIN","THOMAS ALMEIDA","GEORGE PACURARIU","TKO (Punches)","Kerry Hatley","1","4:31",""
"SFT - Standout Fighting Tournament 1","WIN","THOMAS ALMEIDA","CEMIR SILVA","TKO (Punches)","Marcelo Marco Antonio","2","4:42",""
"Alfenas Balada Fight 1 - Almeida vs. Viana","WIN","THOMAS ALMEIDA","WILLIDY VIANA","TKO (Punches)","Roberto Thomaz","1","0:47",""
"MMASH - MMA Super Heroes 1","WIN","THOMAS ALMEIDA","VALDINES SILVA","KO (Knee and Punches)","Roberto Thomaz","1","2:46",""
"Bison FC 1 - Almeida vs. Reborn","WIN","THOMAS ALMEIDA","JOSE ALEXANDRE","TKO (Punches)","Roberto Thomaz","1","3:18",""
"Fair Fight - MMA Edition","WIN","THOMAS ALMEIDA","GILMAR SALES","TKO (Punches)","N/A","1","2:32",""
"LFC 15 - Legacy Fighting Championship 15","WIN","THOMAS ALMEIDA","CODY WILLIAMS","KO (Elbow)","Jon Schorle","1","2:28",""
"PFC - Predador FC 22","WIN","THOMAS ALMEIDA","VANDER CORREA","KO (Punch)","N/A","1","2:21",""
"PFC - Predador FC 21","WIN","THOMAS ALMEIDA","MICHEL IGENHO","TKO (Punches)","N/A","1","3:02",""
"GFSP - Gladiador Fight 3","WIN","THOMAS ALMEIDA","SAMUEL LIMA BRITO","Submission (Guillotine Choke)","N/A","1","1:32",""
"NCF - Nitrix Champion Fight 11","WIN","THOMAS ALMEIDA","IVONEI PRIDONIK","TKO (Punches)","N/A","1","1:21",""
"UC - Union Combat 1","WIN","THOMAS ALMEIDA","EDMILSON ATANASIO","TKO (Punches)","N/A","1","1:57",""
"GFS - Gold Fight Selection 2","WIN","THOMAS ALMEIDA","JORGE FERNANDO","Submission (Armbar)","N/A","1","0:47",""
"TF - Thai Fight 3","WIN","THOMAS ALMEIDA","DANILO MOLINA","Submission (Armbar)","Genival Ivo","1","2:16",""
"UFC Fight Night 150 - Jacare vs. Hermansson","LOSS","THOMAS GIFFORD","ROOSEVELT ROBERTS","Decision (Unanimous)","Keith Peterson","3","5:00","+305"
"Cageside Promotions / KCFA - Kansas City Fighting Alliance 29","WIN","THOMAS GIFFORD","TREY OGDEN","Submission (Guillotine Choke)","Mike England","1","1:04",""
"CC - Colosseum Combat 44","NC","THOMAS GIFFORD","CAMERON VANCAMP","No Contest","N/A","1","0:51",""
"Cageside Promotions / KCFA - Kansas City Fighting Alliance 26","WIN","THOMAS GIFFORD","TREY OGDEN","Submission (Guillotine Choke)","N/A","1","1:57",""
"Simons Promotions - Caged Power 11","WIN","THOMAS GIFFORD","HAWRAZ SYAN","Submission (Triangle Choke)","N/A","1","2:52",""
